,online_order,book_table,rate,votes,location,rest_type,cuisines,amount,menu_item
0,1,1,4.1,775,1,20,1386,800,5047
1,1,0,4.1,787,1,20,594,800,5047
2,1,0,3.8,918,1,16,484,800,5047
3,0,0,3.7,88,1,62,1587,300,5047
4,0,0,3.8,166,4,20,1406,600,5047
5,1,0,3.8,286,4,20,1156,600,5047
6,1,1,4.6,2556,1,22,1468,600,5047
7,1,0,4,324,1,13,462,700,5047
8,1,0,4.2,504,1,13,485,550,5047
9,1,0,4.1,402,1,13,332,500,5047
10,1,1,4.2,150,1,13,462,600,5047
11,1,1,4.2,164,1,13,380,500,5047
12,0,0,4,424,1,13,383,450,5047
13,1,0,3.8,918,1,16,484,800,5047
14,1,0,3.8,90,1,13,332,650,5047
15,1,0,3.9,133,1,13,441,800,5047
16,1,0,3.8,144,1,13,533,700,5047
17,0,0,3.9,93,1,13,456,300,5047
18,1,0,3,62,1,13,444,400,5047
19,1,0,3.7,180,1,13,496,500,5047
20,1,0,3.6,62,1,65,985,600,5047
21,0,0,3.8,148,4,22,1194,550,5047
22,1,0,4,219,4,13,455,600,5047
23,1,0,2.8,506,1,62,1332,500,5047
24,1,0,3.9,172,1,29,1465,750,5047
25,1,0,4.2,415,1,62,1190,500,1672
26,1,0,3.9,230,1,29,235,650,5047
27,1,0,4.2,1647,1,20,609,600,5047
28,1,0,4.4,4884,30,20,1402,750,5047
29,1,0,3.8,133,4,62,1636,200,5047
30,1,0,3.9,286,1,62,322,500,5047
31,1,0,3.9,540,1,62,1474,800,5047
32,1,1,4.6,2556,1,22,1468,600,5047
33,0,0,3.8,36,1,29,1314,400,5047
34,1,0,3.6,244,46,62,1196,300,165
35,1,0,4,804,46,20,1218,450,4709
36,1,0,3.7,679,63,20,604,850,5047
37,1,0,3.1,245,46,62,1257,300,4683
38,0,0,4.3,345,1,30,956,400,5047
39,1,0,4,618,30,20,288,750,5047
40,0,0,4,1047,1,62,980,450,5047
41,1,0,3.9,627,1,29,923,450,14
42,1,1,4.2,354,1,20,151,800,5047
43,0,0,4.2,244,1,20,1000,800,5047
44,1,1,3.6,163,46,20,915,800,5047
45,0,1,4,808,1,20,1196,850,5047
46,1,0,4.1,1720,4,62,1355,400,5047
47,0,0,4.1,868,1,57,704,1200,5047
48,0,0,4.1,520,1,62,248,300,5047
49,0,0,3.6,299,1,62,868,300,5047
50,1,0,4.1,558,4,62,1547,150,537
51,0,0,3.8,39,1,62,1563,350,5047
52,1,0,4.2,146,1,9,215,400,5047
53,1,0,4.4,4401,30,20,286,600,5047
54,0,0,2.6,283,1,20,1156,600,5047
55,0,0,3.3,62,1,4,1589,800,5047
56,0,0,3.7,65,1,62,873,300,5047
57,1,0,3.8,71,4,30,959,400,5047
58,0,0,3.5,52,1,62,1547,300,5047
59,0,0,3.7,130,1,62,1547,200,5047
60,0,0,3.8,45,1,72,175,400,5047
61,1,0,4.1,201,1,62,1597,300,3461
62,1,0,4,771,1,20,1589,450,4550
63,0,0,3,98,1,4,1196,800,5047
64,1,1,4.1,175,30,20,1591,500,2674
65,1,0,3.8,540,4,20,1353,650,5047
66,1,0,3.8,124,46,62,584,400,5047
67,1,0,4.1,340,1,72,1392,500,5047
68,1,0,3.8,505,1,62,322,450,5047
69,1,0,4.1,438,30,30,791,500,5047
70,1,0,3.7,264,54,20,1212,750,5047
71,1,0,3.7,97,30,62,1386,350,5047
72,1,0,3.6,195,30,20,597,800,5047
73,1,0,4.6,228,30,13,359,400,5047
74,1,1,4.1,364,30,20,1665,1200,5047
75,1,0,3.7,107,4,9,221,150,5047
76,1,0,3.2,167,46,62,1594,300,4178
77,1,0,4.2,64,4,62,1510,500,5047
78,1,0,3,290,1,62,1215,450,5047
79,1,0,4.1,233,4,62,1628,200,5047
80,1,0,3.8,115,46,62,863,250,5047
81,1,1,3.9,291,30,13,368,650,2748
82,1,0,4.5,155,30,9,228,300,5047
83,1,0,4.1,305,46,20,965,700,5047
84,1,0,3.9,38,1,30,949,150,5047
85,1,0,3.9,441,1,62,1592,400,5047
86,1,0,4.3,630,30,62,1454,200,5047
87,1,0,3.9,160,46,62,84,300,5047
88,1,0,4.2,287,1,62,1156,350,5047
89,1,0,4.1,402,1,13,332,500,5047
90,1,0,3.8,469,4,20,1208,750,5047
91,1,0,3.3,511,46,20,166,550,5047
92,1,0,3.9,264,1,62,1547,200,5047
93,1,0,3,62,1,13,444,400,5047
94,1,0,3.8,693,1,20,1474,750,5047
95,1,0,3.8,242,30,20,1089,650,5047
96,1,0,4.1,163,4,62,684,500,5047
97,1,0,4.2,191,4,62,1636,250,3959
98,1,0,3.5,32,1,62,1486,150,5047
99,1,0,2.5,247,1,20,1156,500,5047
100,1,1,4.1,2339,30,20,1206,1500,5047
101,1,0,4.1,337,30,62,547,300,5047
102,1,0,3.9,135,1,20,1222,800,5047
103,1,0,3.6,172,79,20,1196,700,5047
104,1,0,3.6,105,1,20,1678,700,5047
105,1,0,4.2,504,1,13,485,550,5047
106,1,1,4.3,1129,30,20,1009,1300,5047
107,1,0,4.3,860,1,30,789,500,5047
108,1,0,3.8,412,30,20,77,700,5047
109,1,1,3.9,142,30,20,1093,1000,5047
110,1,0,3.6,143,30,20,1554,750,5047
111,1,0,4.4,181,30,9,231,250,5047
112,1,0,3.8,70,30,62,1451,200,5047
113,1,0,3.8,164,4,62,1476,600,5047
114,1,0,3.6,58,46,62,366,650,5047
115,0,0,3.8,148,4,22,1194,550,5047
116,0,0,3.9,206,4,62,1585,450,5047
117,0,0,3.7,217,4,20,1281,450,5047
118,0,0,3.8,148,4,62,873,150,5047
119,1,0,2.9,177,30,20,1211,700,5047
120,1,0,3.7,136,1,62,1507,600,5047
121,1,0,4.1,185,30,62,1022,200,5047
122,1,0,3.8,155,54,20,1597,400,5047
123,1,0,3.8,42,1,62,1589,300,2891
124,1,0,3.8,286,4,20,1156,600,5047
125,1,0,3.8,160,1,20,1196,700,5047
126,1,0,3.8,59,1,20,1196,750,5047
127,1,0,4,89,30,62,1551,200,5047
128,1,0,3.9,40,4,20,1280,600,5047
129,1,0,2.5,35,4,62,817,200,5047
130,1,0,3.6,62,1,65,985,600,5047
131,1,0,4.1,139,30,20,1277,550,5047
132,1,0,3.7,237,1,62,1571,200,3163
133,1,0,3.9,388,1,20,299,650,5047
134,1,0,3.9,128,46,20,1568,500,103
135,1,1,4.1,1875,30,20,1159,1200,5047
136,1,0,3.8,90,1,13,332,650,5047
137,1,0,4.2,179,1,29,1465,600,5047
138,1,0,4.3,275,4,62,1547,100,2701
139,1,0,3.7,323,30,20,609,850,5047
140,1,0,4.3,322,30,20,1547,400,5047
141,1,0,2.6,157,30,13,346,450,5047
142,1,0,3.9,543,4,62,1571,300,2710
143,1,0,3.7,180,1,13,496,500,5047
144,1,0,4.2,444,4,62,1547,100,3895
145,1,0,3.9,134,30,62,1647,400,4179
146,1,0,3.8,577,30,20,1421,900,5047
147,1,0,3.9,144,30,20,1268,550,5047
148,1,0,4.1,787,1,20,594,800,5047
